participant_id	Session 01--B1+	Session 01--G-Ratio	Session 01--MEGRE	Session 01--MESE	Session 01--MP2RAGE	Session 01--MPRAGE T1w	Session 01--SPACE T1w	Session 01--SPACE T2w	Session 01--dMRI	Session 01--ihMTRAGE	Session 02--B1+	Session 02--G-Ratio	Session 02--MEGRE	Session 02--MESE	Session 02--MP2RAGE	Session 02--MPRAGE T1w	Session 02--SPACE T1w	Session 02--SPACE T2w	Session 02--dMRI	Session 02--ihMTRAGE
sub-22449	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-24037	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-24762	1	0	1	1	1	1	1	1	1	0	1	0	1	1	1	1	1	0	1	0
sub-60476	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60501	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60505	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60514	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	0	0	1	1
sub-60515	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60516	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60517	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60518	1	0	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1	1
sub-60519	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60520	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60522	1	0	0	1	1	1	1	1	1	0	1	n/a	0	1	1	1	1	1	1	n/a
sub-60526	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1
sub-60531	1	1	1	1	1	1	1	1	1	1	1	n/a	1	n/a	1	1	1	1	1	n/a
sub-60532	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	0
sub-60545	1	1	1	1	1	1	1	1	1	1	1	1	n/a	1	1	1	1	1	1	1
sub-60553	0	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1	1	1
sub-60556	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	0	1	0
sub-60563	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
sub-60641	1	1	1	1	1	1	1	1	1	1	1	1	0	1	1	1	1	1	1	1
sub-PILOT01	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-PILOT02	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-PILOT03	1	1	1	1	1	1	1	1	1	1	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
sub-PILOT04	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a	n/a
