Image	DKI Micro AD	DKI Micro ADE	DKI Micro AWF	DKI Micro AxonalD	DKI Micro KFA	DKI Micro MD	DKI Micro RD	DKI Micro RDE	DKI Micro Tortuosity	DKI Micro Trace	DKI AD	DKI AK	DKI KFA	DKI Linearity	DKI MD	DKI MK	DKI MKT	DKI Planarity	DKI RD	DKI RK	DKI Sphericity	DKI Tensor FA	DSIStudio GQI GFA	DSIStudio GQI ISO	DSIStudio GQI QA	DSIStudio Tensor AD	DSIStudio Tensor FA	DSIStudio Tensor HA	DSIStudio Tensor MD	DSIStudio Tensor RD1	DSIStudio Tensor RD2	DSIStudio Tensor RD	DSIStudio Tensor TXX	DSIStudio Tensor TXY	DSIStudio Tensor TXZ	DSIStudio Tensor TYY	DSIStudio Tensor TYZ	DSIStudio Tensor TZZ	NODDI ICVF Modulated	NODDI ICVF	NODDI ISOVF	NODDI NRMSE	NODDI OD Modulated	NODDI OD	NODDI RMSE	NODDI TF	TORTOISE MAPMRI NG	TORTOISE MAPMRI NG Par	TORTOISE MAPMRI NG Perp	TORTOISE MAPMRI PA	TORTOISE MAPMRI PATH	TORTOISE MAPMRI RTAP	TORTOISE MAPMRI RTOP	TORTOISE MAPMRI RTPP	TORTOISE MAPMRI AD	TORTOISE MAPMRI AM	TORTOISE MAPMRI FA	TORTOISE MAPMRI LI	TORTOISE MAPMRI RD	TORTOISE Tensor AD	TORTOISE Tensor AM	TORTOISE Tensor FA	TORTOISE Tensor LI	TORTOISE Tensor RD	ihMTw	ihMTR	MTR	ihMTsat	ihMTsat-B1c	R2	R2*-E5	R2*-E4	R2'-E5	R2'-E4	R1	R1-B1c	MPRAGE-MyelinW	SPACE-MyelinW	Scaled MPRAGE-MyelinW	Scaled SPACE-MyelinW	G-ihMTsat	G-ihMTR	Q-Ratio-E5	Q-Ratio-E5-B1c	Q-Ratio-E4	Q-Ratio-E4-B1c	QSM-SEPIA-E5	QSM-SEPIA-E4	QSM-X-R2'-E5-X	QSM-X-R2'-E4-X	QSM-X-R2'-E5-Para	QSM-X-R2'-E4-Para	QSM-X-R2'-E5-Dia	QSM-X-R2'-E4-Dia	QSM-X-R2pnet-E5-X	QSM-X-R2pnet-E4-X	QSM-X-R2pnet-E5-Para	QSM-X-R2pnet-E4-Para	QSM-X-R2pnet-E5-Dia	QSM-X-R2pnet-E4-Dia	QSM-X-R2*-E5-X	QSM-X-R2*-E4-X	QSM-X-R2*-E5-Para	QSM-X-R2*-E4-Para	QSM-X-R2*-E5-Dia	QSM-X-R2*-E4-Dia
DKI Micro AD	0.0	2.5601792466652955	-0.2148471579433062	0.15960275214009345	-0.32397415044489314	1.3239854578258188	0.9405112239047174	1.077370110169596	-0.02604397627793589	1.3239854587326887	4.9517187756431005	-0.03300098260410064	-0.32397415044489314	-0.002035387088492859	1.3239854578258188	0.01685814624501042	0.03632010722478477	-0.03308455694445849	0.9405112239047174	-0.02776332102469078	0.024961673079220772	-0.027134480809104942	0.052490207986892384	-0.6424275953543589	-0.3326866788147068	2.1015036866452306	-0.026347675281695623	0.015316777747862843	1.160484345098685	0.9958143427629218	0.8337768598278483	0.918226160772909	1.0297915234020971	0.16515213985519653	0.10827915790069031	1.0939866150620512	-0.31171628725058054	1.138729228214739	-0.7319238571986453	-0.2238111286204135	1.2505409245949448	0.18491783645236898	-0.5814701728588451	0.09995674702639273	0.04006412477951801	-1.202223965540827	0.81082050784571	0.83297717496312	0.6420468107338678	0.4973672543661358	0.48472570650551333	-0.7434350107648424	-0.8012288914013562	-1.6647991821774584	2.344562362211579	0.11183646400178456	-0.04507105743013301	-0.078192234831478	0.8703484698894383	1.2489450546587326	0.1025379254035637	-0.1028081129737099	-0.14499259500254233	0.6961414908982463	-0.4455438990985344	-0.5148440285799816	-0.5849775161853652	-0.5284574943740059	-0.48791740736893846	-0.5715743706242136	-0.09654259471005068	-0.0774092343285361	0.21394267048631235	0.2168565190489954	-0.46310056602557564	-0.44062904473330466	-0.4785500979631312	-0.5489219096226023	-0.4785500972158994	-0.5489219092280986	0.2230889063000195	0.18039204403895073	-0.26581375606836916	-0.2564291418246518	-0.24944398153318084	-0.2401005020206095	-0.039907229201287434	-0.039065052279749414	-0.13405577531935328	-0.1550921216418691	0.1473268900748998	0.13912937761225205	0.3953744684183422	0.4180118956793832	-0.12647882169745464	-0.14802013545577197	-0.010873571466760362	-0.022491720498581984	0.2591334203783101	0.289245145342803	-0.12653615371938437	-0.14791090367823997	-0.010295162688525226	-0.025942462884782042	0.2589225834604731	0.28661491212691326
DKI Micro ADE	2.5601792466652955	0.0	-0.11261384861338887	0.21518530559118149	-0.2805719563547713	1.151556157383583	0.8242020977245034	0.9801563033317561	0.039468022450087355	1.1515561578919973	2.5601792466652955	0.05614671897622199	-0.2805719563547713	0.05380354879279532	1.151556157383583	0.10433239113260774	0.13007253269547778	0.03961038313737884	0.8242020977245034	0.04582274172173968	-0.050908513936460675	0.04576733777478286	0.1222167549156815	-0.6895616630825138	-0.2934239697566643	1.8651718893781835	0.04498735638265305	0.01681542005991514	1.0194266280704156	0.8932264071201275	0.7236214948058727	0.8065767338488605	0.929963121466957	0.16414697324079566	0.10047662411904917	0.984075939714359	-0.28886189514443755	1.04945691579277	-0.6103494453222379	-0.13026250014643773	1.2386479287451613	0.201761979025164	-0.6331917695683669	0.060133649648918916	0.06833967396862727	-1.1939689998449854	0.9686239594759539	0.8985462818388396	0.7608738818334634	0.6167220719999483	0.6029805888761298	-0.6355475510464964	-0.6751170036913401	-1.4465712189370294	1.9585911908561384	0.05037244367630514	0.02671551537154313	-0.011946647606080024	0.7546902812031067	1.0885704664202993	0.0398998722857907	-0.0350904440179077	-0.0833096049282185	0.5838258459743934	-0.38717200249270867	-0.44177205538877595	-0.5200573876534975	-0.4519442827670053	-0.4126921733798929	-0.5025486466223766	-0.04512707455533634	-0.03170957005200202	0.24103908924926004	0.23799633903493517	-0.38684399528093194	-0.36563421550686753	-0.40002503629732133	-0.47277799024670003	-0.4000250355258359	-0.4727779898707247	0.16460437364026803	0.1374818861504824	-0.18799534725454295	-0.1785669717950429	-0.1737491747829077	-0.16434103179596163	-0.033774610558033095	-0.033568072668555625	-0.13949663599252132	-0.16006440607400757	0.16049093687852362	0.15027392608483792	0.4176174856706357	0.4372510807884444	-0.1313267569050061	-0.15288935979433602	-0.012110256446229938	-0.02274508354797046	0.2663876504797176	0.29684336717618703	-0.1313705063926578	-0.15275571885575565	-0.013578813154282807	-0.029046405913511257	0.2642006263504625	0.2918047992165758
DKI Micro AWF	-0.21484715794330614	-0.11261384861338887	0.0	0.36568010785428756	0.47065723488548	-0.5138480541596808	-0.6742550649773801	-0.49754861479012785	0.6672537790918596	-0.5138480541515795	-0.21484715794330614	0.8872414973148346	0.47065723488548	0.6231639692921652	-0.5138480541596808	1.147728471874207	1.1884747281193635	0.5290938044165587	-0.6742550649773801	1.0378060311156878	-0.6523260765274492	0.7248229409249799	0.7190101066659207	0.02745511928007567	0.6461488768766613	-0.26397865411784305	0.73580216526192	0.00024923824839271567	-0.589080629933405	-0.6258262568289271	-0.770995094837561	-0.7138021745648504	-0.555909206752689	-0.06573937837763813	-0.10302007004954522	-0.5499656492936785	0.267269302281897	-0.4662177619595908	1.0018192926066989	0.7049506517226287	-0.3429034204675075	-0.07760412317748017	-0.13003395311893226	-0.6039788535572629	0.06620769080625194	0.3517751754350606	0.34528842017261546	-0.06768914719185139	0.4316047651035355	0.6237237037110451	0.6333252495556936	0.9589958003566333	0.9536704570475375	0.35896050740922525	-0.2575446678686819	-0.512094754266262	0.7502154512756051	0.7451544956822509	-0.7431629167031293	-0.4106160128225666	-0.5235240291147373	0.7561207534574318	0.731125341678694	-0.9429993063036214	0.5573512538646095	0.7163341156144647	0.6089581481108992	0.7515068852758158	0.7678384011625233	0.6423745948906241	0.36489228081668734	0.31852402666832635	0.04617198572982022	0.009666632113127762	0.7876399960276902	0.7816259532407641	0.7848356955425132	0.7502183825963867	0.7848356964792871	0.750218382496075	-0.5161899877460483	-0.3473086522062394	0.6877543558625752	0.6918336453372442	0.664625457147651	0.6686231592643606	0.042094870979699786	0.042736967714130915	0.02101130184018097	0.035631741248744964	-0.007622602313335882	-0.011749768296548826	-0.05822737646241582	-0.08400048942301226	0.01841618506333207	0.03054361772995583	-0.03039547727818227	-0.013525962462656315	-0.08012975286705082	-0.09089003736121914	0.018375172199948494	0.030620178096766287	-0.04051292277227988	-0.025619418326519934	-0.08965256565860304	-0.10116083553348332
DKI Micro AxonalD	0.15960275214009345	0.21518530559118149	0.36568010785428756	0.0	0.7753800287544333	-0.11363538672917471	-0.22781199778907946	-0.18355655953247246	0.7325443704025453	-0.1136353863692944	0.15960275214009345	-0.006276794744122038	0.7753800287544333	0.5955230876838848	-0.11363538672917471	-0.02320634694409265	0.005356370179891606	0.587445633093981	-0.22781199778907946	-0.005294267374561237	-0.7017140656771467	0.7303684755262624	0.7839997186555315	-0.30179838821023486	0.3598152781758588	0.14018407548991416	0.7381882983916335	0.0057123207147612215	-0.13311550559024277	-0.1558433027298027	-0.277338584620396	-0.2230142510342848	-0.10008551277672671	-0.07198844075498016	0.06625618134827248	-0.09448499224489317	0.04979284956191816	-0.07113137521669605	0.20609774043663498	0.36200196524007183	0.06019940703512436	0.6452327250376055	-0.5711727996258731	-0.46588561553694613	0.7078185398064384	-0.05484217276991172	0.19089113398545007	-0.1353974621155156	0.14012382077529564	0.5602929107502906	0.5618168614097184	0.2535589959711607	0.21818077790527113	-0.09951253207215739	0.11448604432987636	-0.3191924586963802	0.6640882294446165	0.5553660077782515	-0.2650638763014896	0.08020641950757137	-0.31675329519160494	0.6235475336753205	0.5300533457964471	-0.2926366680334136	0.020513993149761017	0.17687310562214853	0.12486985335240548	0.1835476605447078	0.18377053190376005	0.06626996269857871	0.10181117259738899	0.09277748621481427	0.0785560367221398	0.06570802262666493	0.2213641104621917	0.21862231365568152	0.21430539195513998	0.15932375147787992	0.21430539255936643	0.15932375179876868	-0.22698584805962674	-0.19203498671330557	0.2170580974937321	0.21627409840981407	0.2169285632779111	0.21644018039673626	-0.0056761583724668375	-0.0026200216461891935	-0.06748074036368694	-0.06826445413791171	0.03811036189664257	0.0365191523658695	0.12350052490868584	0.11486180360131316	-0.06077092619678738	-0.06373131743185187	-0.020884837581056706	-0.011993447161362516	0.08597228603858899	0.09341907029738672	-0.05908318075571138	-0.061075294633983146	-0.036075550667776735	-0.0351391203854453	0.06815916127462558	0.06999849575605085
DKI Micro KFA	-0.32397415044489314	-0.2805719563547713	0.47065723488548	0.7753800287544336	0.0	-0.6213373030311466	-0.7361704300903864	-0.765144235297996	0.9880776918480074	-0.6213373023676391	-0.32397415044489314	0.18312021766708134	4.9517187756431005	0.745649324326262	-0.6213373030311466	0.0018788830887259298	0.07421617087721158	0.650244533452358	-0.7361704300903864	-0.033883565501041546	-0.8222170552429154	0.9008555017164064	0.6341750906986129	0.000797461571208282	0.48512421869984546	-0.3261172080004761	0.8378534344575204	0.0038904672135777513	-0.5939905988812509	-0.6041560724641932	-0.7548681661939565	-0.6823072483525989	-0.5589950653107797	-0.056304594567104564	-0.08705052080465743	-0.5135390497705908	0.18307280292578543	-0.530786513902976	0.6116462912031224	0.4336878041610433	-0.40697940763832463	0.5692683048647017	-0.11056901738179827	-0.4978212034389177	0.7555216991404528	0.40631417716249696	-0.19864883008178846	-0.3975776799585214	-0.2407282279219434	0.20323819203085994	0.21018210739112708	0.657334377091075	0.6348896108818233	0.3942575665429397	-0.37766473612020196	-0.4583733711356183	0.7967265227969016	0.6606512943075051	-0.7645033089266849	-0.4077827419377249	-0.4498326468867525	0.5898989742257714	0.5179931624832913	-0.7030581925373455	0.18964224935153828	0.39587834693390983	0.38701398591219593	0.4087234388713289	0.3991368606412053	0.3302541042274478	0.16186043717212154	0.14711811450078482	-0.022462411030558065	-0.03337677501091971	0.44215152866826074	0.4295291995431968	0.43745021559837843	0.4000513072132696	0.43745021596913697	0.4000513072812588	-0.2516380122822377	-0.18037314966574394	0.3510345982639527	0.3456872863622213	0.3454926456628965	0.3403583068327444	0.023499731628843706	0.026367739261465364	0.00151495343255358	0.008739705728690877	-0.029439180545182648	-0.027414658350579588	-0.06471377378204309	-0.08136320250274419	0.0037515670674741325	0.009178394608940859	-0.0031884933306825037	0.009266946423868614	-0.03429503055840065	-0.040975566903499884	0.005670367207765684	0.0120683736644851	-0.022280146239348816	-0.018246069390254985	-0.0553294793684278	-0.06814721418695723
DKI Micro MD	1.3239854578258188	1.151556157383583	-0.5138480541596808	-0.11363538672917471	-0.6213373030311466	0.0	1.979780900607267	2.1477271266758757	-0.43080642805142644	4.9517187756431005	1.3239854578258188	-0.17558489476793337	-0.6213373030311466	-0.39929085210587	4.9517187756431005	-0.196651993918601	-0.1987205781079365	-0.3061706580730108	1.979780900607267	-0.24786426775996595	0.41670401840849264	-0.441254837746764	-0.33942038049467166	-0.4563176968564769	-0.6440012284729805	1.279783566227538	-0.4369343075540297	0.011289053586354106	1.9908197784584387	1.720659164164583	1.5596733908372	1.7142143933877967	1.3870235812787968	0.14139326190258236	0.12697792870651967	1.486867693393233	-0.35714259816506777	1.360974148652962	-1.2375508643090096	-0.5235753624309782	1.1258929190533842	0.09568362396570138	-0.18421160519000376	0.4614384815273228	-0.08588062846903176	-1.0849913318912767	0.4537797674266338	0.8292202877763912	0.3333322323936749	0.07850393947164196	0.06797841332173604	-1.3136390499896136	-1.3763611483896072	-1.225111473306869	1.3160587497389449	0.31794688976220037	-0.4575276318838061	-0.46857654439634133	1.7308490330075295	1.0490084439807839	0.3109260617938158	-0.4948780257322863	-0.5122766778322856	1.2860928379155365	-0.6166824601826786	-0.783394749345904	-0.7943435425665009	-0.8157405101502706	-0.7772126579214508	-0.7699541483648368	-0.23209193597686126	-0.19381089823546188	0.13454917397565197	0.15803257645874202	-0.7626298917153819	-0.7359163196209595	-0.7699580826526666	-0.8115507131489803	-0.7699580820701439	-0.8115507127666717	0.4503539201180619	0.3396277271249529	-0.5167606395010965	-0.5089797790540088	-0.4906170219871079	-0.4830810148175967	-0.03449376698460592	-0.035143244362430895	-0.0943199370289137	-0.11722796885404196	0.11858239216576047	0.11883622051406727	0.30513428057387487	0.3403810114786757	-0.08744342419978783	-0.1099367830770817	0.021624126892810392	0.007280743446533766	0.21908150753501068	0.24989763818572386	-0.08741040959570794	-0.10983185296068754	0.026989227916479952	0.010732284079511108	0.22353294791605455	0.2532422568214402
DKI Micro RD	0.9405112239047174	0.8242020977245034	-0.6742550649773801	-0.22781199778907946	-0.7361704300903864	1.979780900607267	0.0	2.2573656762454837	-0.6378205637130792	1.979780899980376	0.9405112239047174	-0.25254761997797687	-0.7361704300903864	-0.6060001360389404	1.979780900607267	-0.31362303232543565	-0.3307971501786076	-0.41831382686760143	4.9517187756431005	-0.35980231466371587	0.6092229840742193	-0.6535315193849582	-0.5304046707505432	-0.3454825861953906	-0.7718874245879443	0.9321179948056044	-0.6437201726623779	0.010475601202306187	1.7641601479988764	1.8499121656041495	2.022914721508841	2.115716294754039	1.3539005323105526	0.11517866612900597	0.14005694675011401	1.3827071008405072	-0.3585313103312855	1.2384908419067686	-1.479291872055562	-0.6304638016106582	0.9703578585291552	0.06735407217804383	-0.027060795439677557	0.6463393049980282	-0.1201881962364474	-0.9389079270912979	0.2904406688041153	0.7421918834646127	0.18548039851798787	-0.09939909627550479	-0.10947156377119972	-1.6363735490941318	-1.6369218706651374	-0.933657204827881	0.9557445534574653	0.41324651626632325	-0.6678278357421088	-0.6662590794324403	2.5231344558808857	0.8596494431341057	0.40845194036743904	-0.688082900314734	-0.6881508396325958	1.677900235552042	-0.6507136914515581	-0.8638399724913495	-0.8310406136277715	-0.9065882612391787	-0.8814587820187073	-0.8032345829208641	-0.27763031774749736	-0.2330801017199064	0.09685691342552068	0.12711173451190633	-0.8755259554017839	-0.8504483923211582	-0.873321881271245	-0.8881381856258436	-0.8733218807579725	-0.8881381853018797	0.533102157219318	0.38661321679372734	-0.6120322621845935	-0.6069536819426097	-0.5820677886974281	-0.5772729638168294	-0.02617616883596325	-0.027969399468963516	-0.06690696007805205	-0.08932738370056213	0.10646101103018739	0.10991805727550007	0.250269488400952	0.2884732015168561	-0.060352301606117716	-0.08195349996329063	0.03984607022119656	0.02483187052192203	0.18532741710213593	0.21474194577731143	-0.060347747466861765	-0.08196185160308343	0.04795163538907229	0.03251992111954608	0.19245696850430494	0.2216693859419831
DKI Micro RDE	1.077370110169596	0.9801563033317561	-0.49754861479012785	-0.18355655953247246	-0.765144235297996	2.1477271266758757	2.2573656762454837	0.0	-0.552231568795015	2.1477271241839997	1.077370110169596	-0.14306653602043795	-0.765144235297996	-0.5150049586306434	2.1477271266758757	-0.14943944939777312	-0.16689721894620246	-0.3433936431994553	2.2573656762454837	-0.19649667867592752	0.5061340099156624	-0.5452786711053403	-0.410705483568217	-0.399896638548169	-0.6764509170106576	1.0418315435550145	-0.5315808196703349	0.01143342598936886	1.7144817737359193	1.7210876230620458	1.6464185190554117	1.7592875394649958	1.332496973656668	0.12070824846748689	0.13901132956612888	1.3501891130279284	-0.34310194705014474	1.2797948469031621	-1.1940446003687446	-0.5125954306341478	1.0643491865689834	0.031797379102181805	-0.11167974167819295	0.5405956231772417	-0.14839968356854713	-1.0268782455452539	0.45564080870305895	0.8555459943997344	0.3515160153877811	0.043790847517285424	0.03345574622630434	-1.3106159063827654	-1.3168794771038865	-1.0043084859177778	1.0815312643421826	0.34961770249846214	-0.551795157543555	-0.5493360782739727	1.8824807820777976	0.8848681147894965	0.34165053502924886	-0.5549620783920723	-0.5617226069660188	1.3220634855337137	-0.5656533000523141	-0.7527018489802912	-0.759732783859975	-0.783956591313252	-0.7514760888847435	-0.7177476695198334	-0.22187010872124105	-0.18588315356414994	0.12779080130164017	0.1501259697697339	-0.747293718396061	-0.7219482319133556	-0.7481383358489839	-0.7735933655811323	-0.7481383353134571	-0.7735933653992908	0.4411034692219953	0.33010768604375745	-0.5056686587333568	-0.49835529342057094	-0.48135625444348723	-0.47432242353151055	-0.029044317001905313	-0.03063604170265994	-0.07996796568095922	-0.1018171622598557	0.11606941716889137	0.11612431034641586	0.28126643094587583	0.316008610651906	-0.07356597311868213	-0.09491068323310292	0.02666624847715076	0.011998515436057254	0.1982640030205334	0.2276980231156681	-0.07383075420045707	-0.0952699058826967	0.034495694396285935	0.01956915095471538	0.2055372170805412	0.23511827385755313
DKI Micro Tortuosity	-0.02604397627793589	0.039468022450087355	0.6672537790918596	0.7325443704025453	0.9880776918480074	-0.43080642805142644	-0.6378205637130792	-0.552231568795015	0.0	-0.43080642734588265	-0.02604397627793589	0.3109073821445913	0.9880776918480074	1.7055069719826657	-0.43080642805142644	0.31307208126138275	0.39254740458727966	0.8069313989319524	-0.6378205637130792	0.29204587833695866	-1.3950963281864734	2.082323876407352	1.2690247638412535	-0.17598190512189757	0.623990887060552	-0.04650233338044258	1.6251205429009539	0.009837704202879747	-0.4401745560637785	-0.5023046713589004	-0.6858919305691885	-0.5998512215622721	-0.4102108615980699	0.03262620671609183	-0.10788705213360796	-0.3745849009205615	0.16415237196190827	-0.33932316320289363	0.6795421134353689	0.7397723114323358	-0.18078696983230402	0.40836979197527423	-0.5343002856432953	-0.8493035896494935	0.555949787990182	0.1852824716517817	0.2368351442475028	-0.11954161533729732	0.2162228750863579	0.7359496698840182	0.7487512026914953	0.6983804584789233	0.641151616207628	0.1347684504400226	-0.07123921306519747	-0.5612812603635867	1.6260781943362297	1.218622510879075	-0.6850686332806687	-0.18744803236320015	-0.561976492982481	1.0830803845534172	0.8870170082779424	-0.7623286475662606	0.2709034531185037	0.44575813822864097	0.3711287612174731	0.4662631025814296	0.48032329392640966	0.36324007745557996	0.2659293985204011	0.23635220965224468	0.0755107850970173	0.04817290435185698	0.5408863523462885	0.537979340396689	0.5282679672814478	0.45303055544552123	0.5282679676096443	0.45303055582511315	-0.3873642131097167	-0.267057696620526	0.5027109983378674	0.505186986662131	0.4914914718272668	0.49409467953988245	0.020535379275989373	0.022635816500912138	-0.029766782989694512	-0.024802280203746026	0.02854592593632605	0.02068161282221387	0.05027885311563568	0.0279325590367642	-0.026659653694710145	-0.024356012741342876	-0.0172764891920596	-0.006961301370655573	0.01970117607428652	0.01777657389823272	-0.025799465666295558	-0.022927167506554783	-0.034659570529272876	-0.032278854967576265	0.0007331217667117055	-0.006427151033776595
DKI Micro Trace	1.3239854587326887	1.1515561578919973	-0.5138480541515795	-0.1136353863692944	-0.6213373023676391	4.9517187756431005	1.979780899980376	2.1477271241839997	-0.43080642734588265	0.0	1.3239854587326887	-0.1755848950714629	-0.6213373023676391	-0.39929085154119687	4.9517187756431005	-0.1966519940074601	-0.1987205782609277	-0.3061706579758993	1.979780899980376	-0.24786426762218133	0.4167040180130863	-0.44125483717575514	-0.3394203801263409	-0.45631769664785576	-0.6440012279661919	1.2797835671069344	-0.43693430702643193	0.011289053698566079	1.9908197782134949	1.7206591640924958	1.5596733909264417	1.7142143931600655	1.3870235821145456	0.14139326210446443	0.1269779291375379	1.4868676932718996	-0.3571425975308984	1.3609741487255171	-1.237550864715638	-0.5235753628485776	1.1258929188456952	0.09568362427113244	-0.18421160548760593	0.46143848102036833	-0.08588062819297888	-1.0849913317285216	0.45377976699204986	0.829220286893703	0.33333223205294993	0.0785039395560423	0.06797841341728288	-1.31363904951029	-1.3763611482934424	-1.2251114740496636	1.3160587506113965	0.31794688984350516	-0.4575276314405419	-0.46857654406563964	1.7308490325899613	1.049008445074661	0.3109260618794389	-0.49487802544499215	-0.512276677644493	1.2860928381944268	-0.6166824600493832	-0.78339474944612	-0.794343541878989	-0.8157405102136096	-0.7772126579761479	-0.7699541479123294	-0.2320919357273849	-0.19381089769138363	0.1345491740751134	0.15803257679695845	-0.7626298918175405	-0.7359163197738843	-0.7699580828753891	-0.8115507135329239	-0.7699580822928666	-0.8115507131506127	0.4503539200412009	0.3396277272441576	-0.516760639439306	-0.5089797789879639	-0.49061702156638126	-0.48308101440600637	-0.03449376740232085	-0.035143244605846884	-0.09431993674552189	-0.1172279690343955	0.11858239244551096	0.11883622058377796	0.3051342808724137	0.3403810121546086	-0.08744342368252875	-0.1099367829825469	0.021624127230104394	0.007280743523025256	0.21908150736343396	0.24989763822204877	-0.08741040906578298	-0.10983185287062495	0.02698922815329361	0.01073228403706746	0.223532947601208	0.25324225679175905
