Image	DKI Micro AD	DKI Micro ADE	DKI Micro AWF	DKI Micro AxonalD	DKI Micro KFA	DKI Micro MD	DKI Micro RD	DKI Micro RDE	DKI Micro Tortuosity	DKI Micro Trace	DKI AD	DKI AK	DKI KFA	DKI Linearity	DKI MD	DKI MK	DKI MKT	DKI Planarity	DKI RD	DKI RK	DKI Sphericity	DKI Tensor FA	DSIStudio GQI GFA	DSIStudio GQI ISO	DSIStudio GQI QA	DSIStudio Tensor AD	DSIStudio Tensor FA	DSIStudio Tensor HA	DSIStudio Tensor MD	DSIStudio Tensor RD1	DSIStudio Tensor RD2	DSIStudio Tensor RD	DSIStudio Tensor TXX	DSIStudio Tensor TXY	DSIStudio Tensor TXZ	DSIStudio Tensor TYY	DSIStudio Tensor TYZ	DSIStudio Tensor TZZ	NODDI ICVF Modulated	NODDI ICVF	NODDI ISOVF	NODDI NRMSE	NODDI OD Modulated	NODDI OD	NODDI RMSE	NODDI TF	TORTOISE MAPMRI NG	TORTOISE MAPMRI NG Par	TORTOISE MAPMRI NG Perp	TORTOISE MAPMRI PA	TORTOISE MAPMRI PATH	TORTOISE MAPMRI RTAP	TORTOISE MAPMRI RTOP	TORTOISE MAPMRI RTPP	TORTOISE MAPMRI AD	TORTOISE MAPMRI AM	TORTOISE MAPMRI FA	TORTOISE MAPMRI LI	TORTOISE MAPMRI RD	TORTOISE Tensor AD	TORTOISE Tensor AM	TORTOISE Tensor FA	TORTOISE Tensor LI	TORTOISE Tensor RD	ihMTw	ihMTR	MTR	ihMTsat	ihMTsat-B1c	R2	R2*-E5	R2*-E4	R2'-E5	R2'-E4	R1	R1-B1c	MPRAGE-MyelinW	SPACE-MyelinW	Scaled MPRAGE-MyelinW	Scaled SPACE-MyelinW	G-ihMTsat	G-ihMTR	Q-Ratio-E5	Q-Ratio-E5-B1c	Q-Ratio-E4	Q-Ratio-E4-B1c	QSM-SEPIA-E5	QSM-SEPIA-E4	QSM-X-R2'-E5-X	QSM-X-R2'-E4-X	QSM-X-R2'-E5-Para	QSM-X-R2'-E4-Para	QSM-X-R2'-E5-Dia	QSM-X-R2'-E4-Dia	QSM-X-R2pnet-E5-X	QSM-X-R2pnet-E4-X	QSM-X-R2pnet-E5-Para	QSM-X-R2pnet-E4-Para	QSM-X-R2pnet-E5-Dia	QSM-X-R2pnet-E4-Dia	QSM-X-R2*-E5-X	QSM-X-R2*-E4-X	QSM-X-R2*-E5-Para	QSM-X-R2*-E4-Para	QSM-X-R2*-E5-Dia	QSM-X-R2*-E4-Dia
DKI Micro AD	0.0	2.5476863990048337	-0.19918843182079718	0.15731596596453576	-0.33685160337319114	1.3105459670635788	0.9208477406613818	1.0607000490395366	-0.01586527287267484	1.310545967865299	4.9517187756431005	-0.03535587350941503	-0.33685160337319114	0.01536705603942049	1.3105459670635788	0.03523123723129576	0.051204753960819825	-0.03420023904704239	0.9208477406613818	0.0010740718173250256	0.014175218062311014	-0.013412935955202142	0.0739044928192467	-0.6124371834919652	-0.2848880714349329	2.113939840037418	-0.014033259594443015	0.01652827143027094	1.1477473596299	0.9726214220639268	0.8116858184837199	0.8942180538587667	1.00625158708902	0.1642120966858376	0.10816263286285395	1.0781824038070333	-0.2973888780710799	1.1183764371163973	-0.7209282557672559	-0.21319581741114788	1.242303412325631	0.16960916897674816	-0.5881379196825129	0.07122783436206986	0.024468630176470833	-1.197795638120507	0.8146948603299553	0.813580579263734	0.6563610718868897	0.5004342915092205	0.48863294750517755	-0.7173072822792291	-0.7859400811978143	-1.6810060642196982	2.363539243176378	0.13761447566181448	-0.030760937951904353	-0.06876289001969703	0.8530226206548064	1.2668630825773826	0.1277030104087632	-0.07815480270491772	-0.12666365721769035	0.6773230552349065	-0.4134515918658429	-0.4807182505749624	-0.5666314908187468	-0.49730091889701183	-0.4628329032440463	-0.5883108965063076	-0.1086281858046967	-0.08933347142146648	0.20599788213900863	0.207698955857601	-0.45217978075922827	-0.43281239108170005	-0.4777489273451568	-0.5543433228558734	-0.47774892667528	-0.554343322402851	0.1851163172239031	0.14262021832965158	-0.2671063546526537	-0.25840393434449094	-0.2511630319529465	-0.24251427746896975	-0.0635255649687773	-0.06092702940328618	-0.15605798478078498	-0.1760419522044843	0.1176192475139751	0.10950413693658367	0.41150922869965	0.4322502619880837	-0.14929706811772195	-0.16987674028328714	-0.03524057543696377	-0.04639588707642041	0.28407739130845716	0.3130465111343196	-0.14940432881206364	-0.16983494309445407	-0.03464763605851519	-0.04965015145132688	0.28416121459361615	0.31082228693620423
DKI Micro ADE	2.5476863990048337	0.0	-0.09586766758904751	0.21125852809126133	-0.29252944984433477	1.1388109684274383	0.8056624269941852	0.9646944008147842	0.05020321947481115	1.138810968940237	2.5476863990048337	0.05529417503708322	-0.29252944984433477	0.07132178058468447	1.1388109684274383	0.1251752881923403	0.14736933395945606	0.03889754181813912	0.8056624269941852	0.07647816818548499	-0.062342416841071537	0.059938292200193526	0.14351153742772552	-0.6625338191671569	-0.24719012314835326	1.8642910420626195	0.05785165752609944	0.01786405330947703	1.0059031206767595	0.8707976741330907	0.7023271982987566	0.7835484201599177	0.9067230326549516	0.16323398868367558	0.10044582833864203	0.9697240458489353	-0.2788197079686021	1.0293036357728722	-0.5982645795857978	-0.11817404664291672	1.2315842079705401	0.18879545382880722	-0.6398921865194084	0.03160211832670098	0.055077042749739014	-1.1903423127832247	0.9772044823325955	0.8837369958727117	0.7793150171326253	0.6207063154085204	0.6078611692065568	-0.6098777608201531	-0.6591594979619503	-1.4526287235529276	1.9592202500645455	0.07331488334343604	0.04158197209298215	-0.0019178283610601467	0.7378964754673775	1.0994831026674081	0.062231268701113084	-0.010447914785487095	-0.06460134160805542	0.565131367991284	-0.35771612715419787	-0.4069624559899839	-0.4999302533107275	-0.4198375878691446	-0.38679226447547516	-0.5147512603618464	-0.05452646076390006	-0.04113749590985165	0.23544784569802285	0.23099851593466628	-0.37364186525290566	-0.35540167382635296	-0.3964345917432049	-0.4747031158744388	-0.39643459107005213	-0.4747031154199181	0.12709778416728137	0.09970612682940852	-0.18676341263489318	-0.1779596230710185	-0.17311453160629872	-0.1643606763103539	-0.05459170138475996	-0.052760123943228814	-0.1576024942413488	-0.1771932738099808	0.13427480792011126	0.12425082011685487	0.43038103884950185	0.4484161007398897	-0.15028972569547266	-0.17090993491873158	-0.03285427474485134	-0.043158933574962	0.28748560524696876	0.3167489651536049	-0.1504027494499851	-0.17086446061843566	-0.03417401444750167	-0.04907564883949093	0.2857420998736255	0.3122968170847151
DKI Micro AWF	-0.19918843182079723	-0.09586766758904751	0.0	0.3661040170049064	0.47122566314088665	-0.505120098316452	-0.6717022576991636	-0.49106550139050675	0.6780547073224406	-0.5051200981384703	-0.19918843182079723	0.8604649703929166	0.47122566314088665	0.634032325898737	-0.505120098316452	1.1454706767989018	1.1851604015002701	0.5351537782858887	-0.6717022576991636	1.04269483825119	-0.6686245785649095	0.7386179390078258	0.7296677439867203	0.014122812827335664	0.6465947930162191	-0.24831323105490027	0.7517153794327593	-0.00039070267584226555	-0.5812282092379617	-0.6230505652672559	-0.772178848501331	-0.7137730703423147	-0.5534431342228094	-0.06484819561628256	-0.10036456160299836	-0.5346628157892852	0.2524776894309849	-0.45945428747170464	0.9991934411727436	0.7121018473830071	-0.3290809926680314	-0.06254245275935466	-0.1529285923762527	-0.6163364834209566	0.08048316908383817	0.3373899160298731	0.35752098765227147	-0.05792383906312606	0.4410961280972802	0.6452923191079324	0.6544637444766682	0.9678656365648035	0.9520185260969879	0.3402232940934403	-0.24105476326836425	-0.5134975965936331	0.7644437989235768	0.7563561756501526	-0.741302391570449	-0.3916018363275114	-0.5255018902264992	0.7712139845085008	0.7448668156148234	-0.9498251507824534	0.5480492450765596	0.7369628466628003	0.6255367432947838	0.7734160439205977	0.7840335632493312	0.6409832753729234	0.3754572483320564	0.3276755442179021	0.05944547940203199	0.021778074997612244	0.804932267158205	0.7986442211129624	0.7969308245056476	0.7567960977277518	0.7969308253109063	0.7567960977203391	-0.5179778891172064	-0.3591504716735406	0.699926949639598	0.7038470448939486	0.67458709534415	0.678248521216323	0.04153635706181004	0.04220965893654895	0.026413145357687764	0.03932105675438881	0.0057329369158474995	0.0017394305021243151	-0.05551616484807194	-0.07856512198665196	0.024095174346804887	0.03493475314559681	-0.0208067373412961	-0.005769492258678716	-0.08139873334937826	-0.091262177864478	0.023948747803777596	0.03488990158003687	-0.030131513832986945	-0.016938333116389294	-0.0899016722852832	-0.10034378977917263
DKI Micro AxonalD	0.15731596596453576	0.21125852809126133	0.3661040170049064	0.0	0.7697349495329164	-0.12026605855659672	-0.23789446938980488	-0.19410384784581092	0.7429436500739662	-0.1202660580891727	0.15731596596453576	-0.02896369650872521	0.7697349495329164	0.603874874328661	-0.12026605855659672	-0.02499046055789569	0.0007688975458149725	0.5832753209569502	-0.23789446938980488	0.003255108094267338	-0.7078312868895362	0.7372725133914703	0.786494636650379	-0.2739709278140868	0.3944941607265115	0.1380127689525996	0.7429519952016012	0.004241080866671981	-0.14095363364064895	-0.1685697501167654	-0.2878895494046743	-0.23518678578689067	-0.1143466316016058	-0.0712857070133181	0.06152783869480076	-0.09203493892856723	0.059162738889129644	-0.08137469920787835	0.20934512579300027	0.37307555070045717	0.05905514230222308	0.6530029506980102	-0.5816874512156052	-0.48641816275939703	0.7114814318841817	-0.05377956314886949	0.18761851797642806	-0.14588715746203496	0.1419036902483372	0.5610934962801354	0.5625129252189688	0.2655868836070393	0.22360933228717095	-0.10240780755164387	0.11530061479958813	-0.28476811924034	0.6743202676114849	0.5761046136056412	-0.27337815195775794	0.08701852664426714	-0.28260141651139087	0.6343116319033136	0.5523928364124226	-0.30165542377675897	-0.0003301743777184365	0.19977773909303254	0.14828882830471787	0.20650051803712602	0.18305426585730997	0.07336132987818456	0.11643552350044734	0.10656644877431187	0.09250341788327639	0.07865222171628969	0.2374833552300399	0.22637335353667457	0.23307138020528378	0.17468671939060104	0.233071380611277	0.17468671955439902	-0.22225799899828425	-0.217496457228925	0.23124377965266485	0.22614463719659805	0.23061046537230975	0.2258791979095896	0.002480398308214405	0.005112619611031607	-0.04777378491172611	-0.049049240519038785	0.0604826061854761	0.0592277440652864	0.11861508770035141	0.11229253682743744	-0.0408624094339406	-0.04382876095024866	0.0005712196324102318	0.008561808378073436	0.07275570300375578	0.0801534857977754	-0.039295448455283766	-0.041419667267817095	-0.013502347257721772	-0.012965926718477901	0.055963358292595765	0.057964650777765275
DKI Micro KFA	-0.33685160337319114	-0.29252944984433477	0.47122566314088665	0.7697349495329164	0.0	-0.6455550728214402	-0.7625204827596446	-0.7940093837925745	0.9722368887270207	-0.6455550721706556	-0.33685160337319114	0.16898229548787394	4.9517187756431005	0.7289444016967866	-0.6455550728214402	-0.0014457866733417486	0.06859834537344761	0.6437271989672113	-0.7625204827596446	-0.033495180266331526	-0.8114414301177899	0.8826235116218574	0.6179647158525176	0.019427093153515373	0.4941481969473081	-0.34034294024483097	0.8235172630177907	0.001489082908629073	-0.6194130910365496	-0.6313157250420549	-0.778147003746873	-0.7091573473013424	-0.5865057708536164	-0.059592326096352836	-0.0905875023278831	-0.519470806266074	0.1866789408837734	-0.5526824719539425	0.6267979078889258	0.4410301331853903	-0.41922729864167435	0.5750730187739407	-0.1149716473622237	-0.49851881400027376	0.7625375758906615	0.4188734718899264	-0.2073598657681968	-0.4087451083932224	-0.24627429830115377	0.2030354967811844	0.20943821758824735	0.6768059827956114	0.6524918414811876	0.4028586238642759	-0.3878784712260995	-0.44314922524712935	0.7859383211532678	0.6696369635318405	-0.7883501230989075	-0.412292015482824	-0.4347710799552498	0.5848832574721441	0.5311487335550756	-0.720741735908458	0.16414524695305602	0.4143841956853718	0.41881933096829443	0.42927394222269166	0.39708750159102413	0.35909975187950677	0.18618800526069115	0.1695436387512794	-0.007235707187220222	-0.019074024162364263	0.4622572407365802	0.44256974234934543	0.4710177170705098	0.436597249096509	0.47101771732689407	0.436597248969882	-0.23036508927755767	-0.19005697770771643	0.3724659495899	0.3632358273017804	0.3659649884837641	0.35701551834237627	0.04077712350138805	0.0424303145160935	0.029130096031230762	0.035484754053827755	0.002680160697935575	0.005266272717759467	-0.08024892445112981	-0.09385893280018108	0.0321075739980626	0.03718707481704282	0.025698300177866857	0.037232199123140026	-0.060801833839689255	-0.06704194632434224	0.03390681200256267	0.03984284706276202	0.007877985745255497	0.011530286840799223	-0.08061716169410872	-0.0926156696844762
DKI Micro MD	1.3105459670635788	1.1388109684274383	-0.505120098316452	-0.12026605855659672	-0.6455550728214402	0.0	1.9549347050280823	2.13377532899211	-0.4280342713009006	4.9517187756431005	1.3105459670635788	-0.1744637936810974	-0.6455550728214402	-0.38701351951839025	4.9517187756431005	-0.18198586559258906	-0.1868348383604297	-0.31017297475326056	1.9549347050280823	-0.2243616197724301	0.4125752136432196	-0.4335871345996358	-0.32259788062164746	-0.43492132281293544	-0.5989372811702117	1.2722484109622803	-0.4309304254755082	0.012319703684606182	2.003439057624482	1.7073796773614298	1.5390234473782234	1.694343062775838	1.3856723857957294	0.1420554555154014	0.12558033927631554	1.4488393565422766	-0.33846094492658846	1.3463552461797277	-1.2377669327313459	-0.520806289663195	1.1169490215925768	0.07164614699653846	-0.1822333478769929	0.4364654385546757	-0.11090226318656415	-1.0795650916101882	0.45470808200669594	0.8052240105390773	0.34223572487766485	0.07407440033145857	0.06432694560854545	-1.291357948006726	-1.3714440275381332	-1.2192358384787707	1.304640683540985	0.3423682092981804	-0.4491351696871863	-0.46746513619594426	1.7185305766773942	1.054264967821886	0.3348422640910655	-0.4742160655975915	-0.5018517686038337	1.2729880153011868	-0.5674071787705829	-0.7595077349994845	-0.7968415737755066	-0.7958249272585372	-0.7504868704155294	-0.8007719431054238	-0.2533263971738078	-0.21382078727486173	0.11987173090067695	0.1427781885897135	-0.7638398917788606	-0.7368074355598905	-0.7872835800894326	-0.8375379431614353	-0.7872835795292548	-0.8375379427148453	0.40567573741913215	0.3102634597464105	-0.5288920792389712	-0.5201685570900845	-0.5021956819799804	-0.49373066250769143	-0.060097157809330504	-0.05867338119833486	-0.12269771398926377	-0.14371618258268573	0.08032147038478069	0.07998036516752982	0.3209235200294308	0.3521372061830299	-0.11691788319846505	-0.13786748914044278	-0.011659191423436858	-0.024832496134445374	0.24666107436914178	0.2757044779919742	-0.11690129471086627	-0.1377734024737887	-0.006688044290782493	-0.02171291711501487	0.2509990114187368	0.27897134092406817
DKI Micro RD	0.9208477406613818	0.8056624269941852	-0.6717022576991636	-0.23789446938980488	-0.7625204827596445	1.9549347050280823	0.0	2.2434739477189543	-0.6423699105337056	1.954934704313712	0.9208477406613818	-0.24876504045119682	-0.7625204827596445	-0.5999876580971035	1.9549347050280823	-0.3039865012075999	-0.3226756056734256	-0.42457119436164326	4.9517187756431005	-0.3442204521487381	0.6119856608317368	-0.6527791449810638	-0.5199218163946434	-0.3304409988698291	-0.7378769674497427	0.9160654576027092	-0.6450087177616951	0.011151534427775979	1.764211424503281	1.8600483956720986	2.020011857167594	2.1291154757009165	1.35761462209162	0.11613541294196353	0.13765115169254116	1.3442093319671302	-0.34273870934770034	1.2272003451635887	-1.4875185703367977	-0.6313359758692219	0.9562477927507307	0.04421922245971762	-0.017861153411045164	0.6279086408405278	-0.14462486304057634	-0.9278726877222556	0.2869048751311524	0.7232211386446813	0.18798530731283877	-0.11068227134361991	-0.12009621844262783	-1.6316906399786755	-1.6448054744294602	-0.91625243577362	0.9353072864095455	0.43162367853740324	-0.6662622854957045	-0.6719288974588072	2.545223094352794	0.8488526078095279	0.4266220566372309	-0.674617230252801	-0.6859108579831317	1.678139789490209	-0.6062133252401022	-0.8531829209318333	-0.8451484715286475	-0.9001378189549559	-0.8623484711101075	-0.8304741199970387	-0.2987289205473324	-0.25254477482664134	0.08132153746257878	0.11151788372755393	-0.885997783641344	-0.8588010749033822	-0.8980473683344402	-0.9187639276630133	-0.898047367843168	-0.9187639273681811	0.4943459631880395	0.36743955581052906	-0.6277937589348651	-0.6212589759826996	-0.5965435787842557	-0.5903139145048832	-0.045623728038782285	-0.0458305028855561	-0.08952719014105757	-0.10984044176829749	0.07280843618144904	0.07564678465210761	0.25965579077837553	0.2936398967510973	-0.08404630580167452	-0.1039412186351571	0.011625370041599772	-0.001956250606773152	0.2057429408200585	0.23321179105114845	-0.08402864161559764	-0.1039215752497626	0.019074885543108117	0.005033060060861649	0.21239751851284194	0.2395936206662477
DKI Micro RDE	1.0607000490395366	0.9646944008147842	-0.49106550139050675	-0.19410384784581092	-0.7940093837925745	2.13377532899211	2.2434739477189543	0.0	-0.5530132363214105	2.1337753265762154	1.0607000490395366	-0.13829904370084758	-0.7940093837925745	-0.505507701863337	2.13377532899211	-0.13653870452172923	-0.1556906094083699	-0.34796793063594844	2.2434739477189543	-0.17750988412838328	0.5049283152115854	-0.5406477233745834	-0.39785850830375846	-0.3871665112040486	-0.6423911825697908	1.0295499333566671	-0.5287613825221508	0.012437532287996649	1.7197882659329202	1.7238447000011576	1.6339210566069	1.7552377724052852	1.3356563549034468	0.12182328894377763	0.13691981582500018	1.3165319211785886	-0.32948319887267785	1.2682689163824958	-1.1940604463093332	-0.5107412834544324	1.0533094939199856	0.00897548338871299	-0.10479763423940819	0.5204941253410316	-0.17261163131218832	-1.0192860135536717	0.4559563326187799	0.8373687168598092	0.35807331679827087	0.035519291429204486	0.025946765748960928	-1.2968635973328404	-1.3140952753322939	-0.9907122009729153	1.063850171359652	0.3659511381472024	-0.5464599318692881	-0.5523208412927976	1.8779163656750273	0.8787289693153316	0.35761715908738084	-0.5390770215276857	-0.5573764642286511	1.3132350599001563	-0.519928524147433	-0.7368077235674634	-0.7688689789182239	-0.7716674845261196	-0.7277176405745213	-0.7441628605554876	-0.2425178780475452	-0.20523198340943652	0.11298251805237089	0.13496272843214668	-0.7513630192483027	-0.7239875554925912	-0.7680914967856677	-0.8006475587160157	-0.7680914962689838	-0.8006475585059779	0.3993199739158979	0.308075952692667	-0.5182639598784922	-0.5093107562345491	-0.4933010311114532	-0.4846656185978374	-0.05043133408231373	-0.05023994816319877	-0.10463221026601059	-0.12446718653035199	0.08045180710399798	0.07993669497026314	0.2925234851326299	0.323080299345461	-0.09940108950704127	-0.11911627493443946	-0.003526834648317375	-0.016881652756706823	0.22117755697656705	0.2487031653619632	-0.0996653412914862	-0.11945189642832303	0.0037095530022152193	-0.00993695662521587	0.22810972074189578	0.25572806259298037
DKI Micro Tortuosity	-0.01586527287267484	0.05020321947481115	0.6780547073224406	0.7429436500739662	0.9722368887270207	-0.4280342713009006	-0.6423699105337056	-0.5530132363214105	0.0	-0.42803427060759075	-0.01586527287267484	0.2924807940560743	0.9722368887270207	1.7088536174557374	-0.4280342713009006	0.3184064891620401	0.3942414280486195	0.8045345965232883	-0.6423699105337056	0.30621666797003533	-1.412757954647843	2.09479895777012	1.2782590365146094	-0.1642933481429402	0.6573987912420513	-0.03770069266472662	1.639908390073841	0.008362709439142722	-0.4411596859506897	-0.5103175729093323	-0.6940189580033931	-0.6092150589098962	-0.41772808376469633	0.03043581440543782	-0.1067423067251922	-0.3645052632959501	0.16540837109556808	-0.3420190103610336	0.6795762664317668	0.747906009993418	-0.17481168572352457	0.41531804996087107	-0.5561868665045432	-0.8741566255670595	0.5598912942864772	0.1791292245679362	0.2431017961817287	-0.12058670234926651	0.22595889192026924	0.7557640194639909	0.7681706426395413	0.7115666412516345	0.6439790576502683	0.12013104596678735	-0.05904924782839933	-0.5293633521411074	1.6415614130848064	1.2440285490151313	-0.6888520140923652	-0.17068076486807746	-0.5306647814737698	1.1045018987435917	0.9179461253684731	-0.7716845409347879	0.2536553524287997	0.4753805844733675	0.3986930042512128	0.49569228575343816	0.4879385554888048	0.36738234433439365	0.2799364977210142	0.24902720365397585	0.090418029460738	0.06184683795629285	0.5595330089517673	0.549226748491548	0.5473174594342848	0.4681553322208887	0.5473174596913254	0.4681553324505235	-0.3879582034638073	-0.2959687040657709	0.5175196465315172	0.5159186784707267	0.5049342702186976	0.5035078881158291	0.024016328197048686	0.02594724174597829	-0.01768059648500652	-0.01390300754075248	0.0465145314162669	0.03927378739402276	0.05029613760597837	0.03110758628140013	-0.014193085136241554	-0.01252528740066223	-0.0025799159848970787	0.0064749020380932875	0.01278949744601877	0.011520202200442607	-0.013454539869985328	-0.011300695751155148	-0.018761806360059252	-0.017195909570036614	-0.004861353198069136	-0.011092234703987314
DKI Micro Trace	1.310545967865299	1.138810968940237	-0.5051200981384704	-0.1202660580891727	-0.6455550721706556	4.9517187756431005	1.954934704313712	2.1337753265762154	-0.42803427060759075	0.0	1.310545967865299	-0.17446379385648617	-0.6455550721706556	-0.3870135189854645	4.9517187756431005	-0.1819858656618394	-0.18683483846367022	-0.31017297451586556	1.954934704313712	-0.22436161962314155	0.4125752132549183	-0.43358713402757476	-0.32259788020634333	-0.43492132256724714	-0.598937280657897	1.2722484118244464	-0.4309304249337577	0.012319703613358872	2.0034390577472285	1.7073796777996817	1.539023447385538	1.6943430627238023	1.3856723870788887	0.14205545535843578	0.1255803399414754	1.4488393560544026	-0.33846094458566356	1.3463552461811117	-1.2377669330204162	-0.5208062900133297	1.1169490212032824	0.07164614734512055	-0.18223334817086403	0.4364654381083215	-0.11090226287265438	-1.0795650912265342	0.45470808162386245	0.805224010001658	0.3422357245882561	0.07407440051373651	0.0643269457882265	-1.2913579474703416	-1.3714440272668205	-1.2192358389282631	1.3046406841444684	0.342368209410521	-0.44913516926043057	-0.46746513593594996	1.718530576162076	1.054264968614704	0.33484226420575675	-0.4742160652537084	-0.501851768377234	1.2729880155030258	-0.5674071787498971	-0.7595077350098272	-0.7968415732620218	-0.7958249272196444	-0.7504868702804799	-0.8007719429967612	-0.2533263970189917	-0.21382078682849015	0.1198717309619647	0.14277818887825472	-0.7638398918574065	-0.7368074356541281	-0.7872835803424079	-0.8375379435556727	-0.7872835797822308	-0.8375379431090813	0.40567573712205246	0.3102634597856525	-0.5288920792221211	-0.5201685570817819	-0.5021956815989006	-0.4937306621483339	-0.06009715831437051	-0.058673381563386896	-0.12269771396986982	-0.14371618290881982	0.08032147045158201	0.079980365106981	0.32092352042299455	0.3521372068478846	-0.11691788302056502	-0.13786748927354572	-0.011659191315481855	-0.024832496162049363	0.246661074540947	0.27570447828321387	-0.11690129452349743	-0.1377734026119295	-0.006688044284028704	-0.0217129172875244	0.25099901145537096	0.2789713411367168
